Course Name,Course Link,Course Description,Price,Starting Date,Whether it is live or self-paced,Number of Lessons,Total Duration in Hours,Who the course is meant for
NLP Bootcamp 1,https://vizuara.ai/courses/nlp-bootcamp-1,"Comprehensive nlp course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",9999,2027-07-17,Self-Paced,40,39,Tech leads
NLP Masterclass 1,https://vizuara.ai/courses/nlp-masterclass-1,"Comprehensive nlp course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",10999,2027-07-20,Self-Paced,41,40,Product managers
NLP Professional Certificate 1,https://vizuara.ai/courses/nlp-professional-certificate-1,"Comprehensive nlp course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",11999,2027-07-23,Live,42,41,Working professionals
NLP Applied Projects 1,https://vizuara.ai/courses/nlp-applied-projects-1,"Comprehensive nlp course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",12999,2027-07-26,Self-Paced,43,42,Beginners entering AI
NLP Hands-On Workshop 1,https://vizuara.ai/courses/nlp-hands-on-workshop-1,"Comprehensive nlp course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",13999,2027-07-29,Self-Paced,44,43,Software engineers
NLP Essentials 1,https://vizuara.ai/courses/nlp-essentials-1,"Comprehensive nlp course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",2999,2027-08-01,Live,45,44,Data analysts
NLP Advanced Techniques 1,https://vizuara.ai/courses/nlp-advanced-techniques-1,"Comprehensive nlp course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",3999,2027-08-04,Self-Paced,46,45,College students
NLP Industry Applications 1,https://vizuara.ai/courses/nlp-industry-applications-1,"Comprehensive nlp course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",4999,2027-08-07,Self-Paced,47,46,ML practitioners
NLP Production Systems 1,https://vizuara.ai/courses/nlp-production-systems-1,"Comprehensive nlp course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",5999,2027-08-10,Live,48,47,AI engineers
Computer Vision Foundations 1,https://vizuara.ai/courses/computer-vision-foundations-1,"Comprehensive computer vision course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",6999,2027-08-13,Self-Paced,49,48,Backend developers
Computer Vision Bootcamp 1,https://vizuara.ai/courses/computer-vision-bootcamp-1,"Comprehensive computer vision course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",7999,2027-08-16,Self-Paced,50,49,Tech leads
Computer Vision Masterclass 1,https://vizuara.ai/courses/computer-vision-masterclass-1,"Comprehensive computer vision course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",8999,2027-08-19,Live,51,50,Product managers
Computer Vision Professional Certificate 1,https://vizuara.ai/courses/computer-vision-professional-certificate-1,"Comprehensive computer vision course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",9999,2027-08-22,Self-Paced,52,51,Working professionals
Computer Vision Applied Projects 1,https://vizuara.ai/courses/computer-vision-applied-projects-1,"Comprehensive computer vision course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",10999,2027-08-25,Self-Paced,18,52,Beginners entering AI
AI Agents & RAG Foundations 1,https://vizuara.ai/courses/ai-agents-and-rag-foundations-1,"Comprehensive ai agents & rag course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",11999,2027-08-28,Live,19,53,Software engineers
AI Agents & RAG Bootcamp 1,https://vizuara.ai/courses/ai-agents-and-rag-bootcamp-1,"Comprehensive ai agents & rag course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",12999,2027-08-31,Self-Paced,20,54,Data analysts
AI Agents & RAG Masterclass 1,https://vizuara.ai/courses/ai-agents-and-rag-masterclass-1,"Comprehensive ai agents & rag course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",13999,2027-09-03,Self-Paced,21,55,College students
AI Agents & RAG Professional Certificate 1,https://vizuara.ai/courses/ai-agents-and-rag-professional-certificate-1,"Comprehensive ai agents & rag course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",2999,2027-09-06,Live,22,56,ML practitioners
AI Agents & RAG Applied Projects 1,https://vizuara.ai/courses/ai-agents-and-rag-applied-projects-1,"Comprehensive ai agents & rag course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",3999,2027-09-09,Self-Paced,23,57,AI engineers
AI Agents & RAG Hands-On Workshop 1,https://vizuara.ai/courses/ai-agents-and-rag-hands-on-workshop-1,"Comprehensive ai agents & rag course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",4999,2027-09-12,Self-Paced,24,58,Backend developers
AI Agents & RAG Essentials 1,https://vizuara.ai/courses/ai-agents-and-rag-essentials-1,"Comprehensive ai agents & rag course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",5999,2027-09-15,Live,25,59,Tech leads
AI Agents & RAG Advanced Techniques 1,https://vizuara.ai/courses/ai-agents-and-rag-advanced-techniques-1,"Comprehensive ai agents & rag course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",6999,2027-09-18,Self-Paced,26,60,Product managers
AI Agents & RAG Industry Applications 1,https://vizuara.ai/courses/ai-agents-and-rag-industry-applications-1,"Comprehensive ai agents & rag course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",7999,2027-09-21,Self-Paced,27,61,Working professionals
AI Agents & RAG Production Systems 1,https://vizuara.ai/courses/ai-agents-and-rag-production-systems-1,"Comprehensive ai agents & rag course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",8999,2027-09-24,Live,28,12,Beginners entering AI
